id,opened_ts,asset,series,market_ticker,event_ticker,title,sub_title,strike_type,floor,cap,side,action,close_time,spot_at_open,p_model,kalshi_prob,odds,edge_pct,kelly_pct,stake,count,live,order_id,status,settle_price,settled_ts,pnl,product
61,2026-08-21T23:15:54.437295+00:00,SOL,KXSOLD,KXSOLD-26AUG2120-T94.4999,KXSOLD-26AUG2120,"SOL price on Aug 21, 2026?",$94.5 or above,greater,94.4999,,no,buy,2026-08-22T00:00:00Z,94.13,0.836,0.782,1.278,6.8,24.4,7.22,9,0,,won,93.55,2026-08-22T00:45:05.180612+00:00,2.01,SOL-USD
62,2026-08-22T00:45:05.180612+00:00,SOL,KXSOLD,KXSOLD-26AUG2217-T94.9999,KXSOLD-26AUG2217,"SOL price on Aug 22, 2026?",$95 or above,greater,94.9999,,no,buy,2026-08-22T21:00:00Z,93.58,0.772,0.715,1.399,8.1,20.2,5.78,8,0,,open,,,,SOL-USD
63,2026-08-22T02:10:09.530218+00:00,SOL,KXSOLD,KXSOLD-26AUG2217-T91.9999,KXSOLD-26AUG2217,"SOL price on Aug 22, 2026?",$92 or above,greater,91.9999,,yes,buy,2026-08-22T21:00:00Z,94.115,0.86,0.792,1.263,8.6,32.6,9.31,11,0,,open,,,,SOL-USD
64,2026-08-22T03:13:11.397062+00:00,SOL,KXSOLD,KXSOLD-26AUG2217-T93.9999,KXSOLD-26AUG2217,"SOL price on Aug 22, 2026?",$94 or above,greater,93.9999,,yes,buy,2026-08-22T21:00:00Z,96.025,0.848,0.802,1.248,5.8,23.5,6.71,8,0,,open,,,,SOL-USD
65,2026-08-22T03:13:11.397062+00:00,SOL,KXSOLD,KXSOLD-26AUG2217-T97.9999,KXSOLD-26AUG2217,"SOL price on Aug 22, 2026?",$98 or above,greater,97.9999,,no,buy,2026-08-22T21:00:00Z,96.025,0.845,0.802,1.248,5.4,21.8,6.24,7,0,,open,,,,SOL-USD
66,2026-08-22T03:13:11.397062+00:00,SOL,KXSOLD,KXSOLD-26AUG2217-T96.9999,KXSOLD-26AUG2217,"SOL price on Aug 22, 2026?",$97 or above,greater,96.9999,,no,buy,2026-08-22T21:00:00Z,96.025,0.705,0.676,1.48,4.3,9.0,2.58,3,0,,open,,,,SOL-USD
67,2026-08-22T04:57:57.539956+00:00,SOL,KXSOLD,KXSOLD-26AUG2217-T98.9999,KXSOLD-26AUG2217,"SOL price on Aug 22, 2026?",$99 or above,greater,98.9999,,yes,buy,2026-08-22T21:00:00Z,99.67,0.63,0.577,1.732,9.2,12.5,3.58,6,0,,open,,,,SOL-USD
68,2026-08-22T06:25:16.786673+00:00,SOL,KXSOLD,KXSOLD-26AUG2203-T94.4999,KXSOLD-26AUG2203,"SOL price on Aug 22, 2026?",$94.5 or above,greater,94.4999,,no,buy,2026-08-22T07:00:00Z,94.19,0.786,0.695,1.438,13.1,29.9,8.54,12,0,,won,94.3,2026-08-22T07:08:36.640618+00:00,3.74,SOL-USD
69,2026-08-22T06:25:16.786673+00:00,SOL,KXSOLD,KXSOLD-26AUG2217-T92.9999,KXSOLD-26AUG2217,"SOL price on Aug 22, 2026?",$93 or above,greater,92.9999,,yes,buy,2026-08-22T21:00:00Z,94.19,0.727,0.676,1.48,7.6,15.8,4.52,6,0,,open,,,,SOL-USD
70,2026-08-22T06:25:16.786673+00:00,SOL,KXSOLD,KXSOLD-26AUG2203-T94.2499,KXSOLD-26AUG2203,"SOL price on Aug 22, 2026?",$94.25 or above,greater,94.2499,,no,buy,2026-08-22T07:00:00Z,94.19,0.565,0.537,1.861,5.1,5.9,1.69,3,0,,lost,94.3,2026-08-22T07:08:36.640618+00:00,-1.69,SOL-USD
